"","UNQ_NO","Search.Query"
"6095",6095,"세종 피자나라치킨공주"
"6110",6110,"세종 하남돼지집"
"6116",6116,"세종 한강반점"
"6137",6137,"세종 현대옥"
"6146",6146,"세종 호화반점"
"6150",6150,"세종 홍수계찜닭"
"6151",6151,"세종 홍짜장"
"6160",6160,"세종 효자동설렁탕"
"6172",6172,"강원 투뿔등심"
"6180",6180,"강원 키친엑스"
"6212",6212,"강원 경성주막1929"
"6220",6220,"강원 고기싸롱"
"6244",6244,"강원 국민낙곱새"
"6255",6255,"강원 금화왕돈까스"
"6279",6279,"강원 남오토코"
"6282",6282,"강원 냠냠족발&보쌈"
"6285",6285,"강원 네모푸드"
"6307",6307,"강원 대림국수"
"6321",6321,"강원 돈까스짱"
"6351",6351,"강원 떡군이네 떡볶이"
"6357",6357,"강원 라공방"
"6375",6375,"강원 리얼후라이"
"6380",6380,"강원 마라영웅"
"6396",6396,"강원 맛닭꼬"
"6424",6424,"강원 미라클푸드"
"6450",6450,"강원 밥플러스"
"6456",6456,"강원 백소정"
"6464",6464,"강원 버거비"
"6467",6467,"강원 버텍스"
"6469",6469,"강원 벌떡"
"6482",6482,"강원 본스치킨"
"6489",6489,"강원 부산아지매국밥"
"6500",6500,"강원 블랙스미스"
"6505",6505,"강원 빌리엔젤"
"6510",6510,"강원 사위식당"
"6519",6519,"강원 상상오리"
"6527",6527,"강원 생생돈까스"
"6530",6530,"강원 샤브로22"
"6547",6547,"강원 소바애"
"6554",6554,"강원 수유리우동집"
"6555",6555,"강원 수유리혼밥왕"
"6567",6567,"강원 스시화"
"6573",6573,"강원 신룽푸마라탕"
"6576",6576,"강원 신의주찹쌀순대"
"6582",6582,"강원 쌀똑핫도그"
"6591",6591,"강원 아빠곰탕"
"6603",6603,"강원 얌샘김밥"
"6635",6635,"강원 오븐에빠진닭"
"6640",6640,"강원 오한수 우육면가"
"6651",6651,"강원 완백부대찌개 삼겹살"
"6656",6656,"강원 용구비어"
"6661",6661,"강원 우리동네 생고기 무한리필"
"6667",6667,"강원 원조감자탕"
"6669",6669,"강원 원할머니보쌈족발"
"6696",6696,"강원 인생닭강정"
"6699",6699,"강원 인쌩맥주"
"6701",6701,"강원 일미리금계찜닭"
"6704",6704,"강원 자담치킨"
"6708",6708,"강원 잭슨피자"
"6734",6734,"강원 직화한상"
"6744",6744,"강원 찬란한아구"
"6752",6752,"강원 철길부산집"
"6770",6770,"강원 치치"
"6773",6773,"강원 치킨마루"
"6803",6803,"강원 크레이지후라이"
"6806",6806,"강원 크리스피프레시"
"6812",6812,"강원 타이반쩜"
"6822",6822,"강원 택이네조개전골"
"6832",6832,"강원 투마리치킨"
"6836",6836,"강원 파란만잔"
"6842",6842,"강원 파파존스"
"6851",6851,"강원 포베이"
"6859",6859,"강원 프랑킨숯불양념구이치킨"
"6862",6862,"강원 프레퍼스 다이어트 푸드"
"6863",6863,"강원 플라잉볼"
"6864",6864,"강원 플러스82"
"6878",6878,"강원 피자헛"
"6880",6880,"강원 피제이피자"
"6881",6881,"강원 하남돼지집"
"6887",6887,"강원 한강반점"
"6888",6888,"강원 한결보쌈"
"6894",6894,"강원 한신우동"
